fractal_geometry_x_differentiable_programming_x_free_energy_principle.py (acc=23% tierA=22% tierB=23%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy]
chaos_theory_x_adaptive_control_x_compositionality.py (acc=32% tierA=30% tierB=42%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, affirming_consequent]
chaos_theory_x_cognitive_load_theory_x_neuromodulation.py (acc=32% tierA=33% tierB=31%): FAIL=[numeric_stated_premise, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
ergodic_theory_x_chaos_theory_x_neural_oscillations.py (acc=32% tierA=31% tierB=38%): FAIL=[numeric_stated_premise, transitivity, all_but_n, temporal_ordering, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, vacuous_truth]
chaos_theory_x_neural_plasticity_x_autopoiesis.py (acc=33% tierA=36% tierB=23%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, subject_object, negation_scope, rate_inverse_proportion, conditional_probability_asymmetry, double_negation, correlation_not_causation]
chaos_theory_x_self-organized_criticality_x_normalized_compression_distance.py (acc=33% tierA=33% tierB=35%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
ergodic_theory_x_ecosystem_dynamics_x_theory_of_mind.py (acc=33% tierA=38% tierB=15%): FAIL=[transitivity, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, demorgan]
ergodic_theory_x_pragmatics_x_free_energy_principle.py (acc=33% tierA=34% tierB=31%): FAIL=[numeric_comparison, quantifier_inversion, all_but_n, negation_scope, parallel_vs_sequential, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, demorgan]
measure_theory_x_error_correcting_codes_x_type_theory.py (acc=33% tierA=29% tierB=50%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
phenomenology_x_emergence_x_feedback_control.py (acc=33% tierA=30% tierB=46%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
category_theory_x_phase_transitions_x_neural_architecture_search.py (acc=34% tierA=36% tierB=27%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, affirming_consequent]
chaos_theory_x_feedback_control_x_maximum_entropy.py (acc=34% tierA=33% tierB=38%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, all_but_n, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
chaos_theory_x_neural_architecture_search_x_falsificationism.py (acc=34% tierA=36% tierB=27%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
ergodic_theory_x_predictive_coding_x_global_workspace_theory.py (acc=34% tierA=33% tierB=38%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, negation_scope, temporal_ordering, rate_inverse_proportion, affirming_consequent, double_negation, vacuous_truth, correlation_not_causation]
information_theory_x_neural_oscillations_x_multi-armed_bandits.py (acc=34% tierA=34% tierB=35%): FAIL=[numeric_comparison, numeric_stated_premise, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
measure_theory_x_evolution_x_model_checking.py (acc=34% tierA=35% tierB=31%): FAIL=[numeric_comparison, transitivity, modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value]
thermodynamics_x_free_energy_principle_x_proof_theory.py (acc=34% tierA=34% tierB=35%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
thermodynamics_x_mechanism_design_x_free_energy_principle.py (acc=34% tierA=38% tierB=19%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation]
bayesian_inference_x_free_energy_principle_x_model_checking.py (acc=35% tierA=35% tierB=35%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
dialectics_x_feedback_control_x_model_checking.py (acc=35% tierA=37% tierB=27%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
ecosystem_dynamics_x_free_energy_principle_x_sensitivity_analysis.py (acc=35% tierA=33% tierB=42%): FAIL=[numeric_stated_premise, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, affirming_consequent]
ergodic_theory_x_free_energy_principle_x_maximum_entropy.py (acc=35% tierA=34% tierB=38%): FAIL=[numeric_comparison, quantifier_inversion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, affirming_consequent, double_negation, demorgan, vacuous_truth, correlation_not_causation]
measure_theory_x_mechanism_design_x_type_theory.py (acc=35% tierA=28% tierB=62%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
network_science_x_multi-armed_bandits_x_maximum_entropy.py (acc=35% tierA=32% tierB=46%): FAIL=[numeric_comparison, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
neural_plasticity_x_pragmatics_x_free_energy_principle.py (acc=35% tierA=33% tierB=42%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, subject_object, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
phase_transitions_x_criticality_x_model_checking.py (acc=35% tierA=31% tierB=50%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry]
phase_transitions_x_gene_regulatory_networks_x_mechanism_design.py (acc=35% tierA=36% tierB=31%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
renormalization_x_feedback_control_x_free_energy_principle.py (acc=35% tierA=35% tierB=35%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
topology_x_quantum_mechanics_x_normalized_compression_distance.py (acc=35% tierA=33% tierB=42%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry]
adaptive_control_x_mechanism_design_x_maximum_entropy.py (acc=36% tierA=30% tierB=58%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
cellular_automata_x_mechanism_design_x_free_energy_principle.py (acc=36% tierA=36% tierB=35%): FAIL=[numeric_stated_premise, transitivity, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, expected_value, affirming_consequent, denying_antecedent, double_negation]
ergodic_theory_x_chaos_theory_x_compositionality.py (acc=36% tierA=37% tierB=31%): FAIL=[subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, affirming_consequent, double_negation, demorgan]
phase_transitions_x_mechanism_design_x_free_energy_principle.py (acc=36% tierA=38% tierB=27%): FAIL=[subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, affirming_consequent, double_negation, demorgan, vacuous_truth, correlation_not_causation]
phase_transitions_x_network_science_x_mechanism_design.py (acc=36% tierA=38% tierB=27%): FAIL=[transitivity, modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, conjunction_fallacy, affirming_consequent, double_negation]
category_theory_x_chaos_theory_x_self-organized_criticality.py (acc=36% tierA=38% tierB=31%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
chaos_theory_x_kolmogorov_complexity_x_free_energy_principle.py (acc=36% tierA=35% tierB=42%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, affirming_consequent, demorgan]
ergodic_theory_x_constraint_satisfaction_x_criticality.py (acc=36% tierA=40% tierB=23%): FAIL=[transitivity, modus_tollens, negation_scope, temporal_ordering, base_rate_neglect, conditional_probability_asymmetry, affirming_consequent, double_negation, demorgan, vacuous_truth]
ergodic_theory_x_sparse_autoencoders_x_pragmatics.py (acc=36% tierA=39% tierB=27%): FAIL=[numeric_stated_premise, subject_object, all_but_n, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, denying_antecedent]
fractal_geometry_x_falsificationism_x_feedback_control.py (acc=36% tierA=34% tierB=46%): FAIL=[numeric_stated_premise, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
morphogenesis_x_predictive_coding_x_falsificationism.py (acc=36% tierA=29% tierB=65%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, conjunction_fallacy]
phase_transitions_x_renormalization_x_active_inference.py (acc=36% tierA=38% tierB=31%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, demorgan]
quantum_mechanics_x_criticality_x_type_theory.py (acc=36% tierA=34% tierB=46%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry]
thermodynamics_x_neural_plasticity_x_free_energy_principle.py (acc=36% tierA=35% tierB=42%): FAIL=[transitivity, negation_scope, temporal_ordering, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, demorgan, vacuous_truth]
chaos_theory_x_hebbian_learning_x_free_energy_principle.py (acc=37% tierA=34% tierB=50%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
chaos_theory_x_renormalization_x_cognitive_load_theory.py (acc=37% tierA=35% tierB=46%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, negation_scope, temporal_ordering, conjunction_fallacy, expected_value, affirming_consequent, double_negation, demorgan]
chaos_theory_x_wavelet_transforms_x_compositionality.py (acc=37% tierA=35% tierB=46%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, vacuous_truth]
dynamical_systems_x_abductive_reasoning_x_maximum_entropy.py (acc=37% tierA=34% tierB=50%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
ergodic_theory_x_analogical_reasoning_x_model_checking.py (acc=37% tierA=29% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
ergodic_theory_x_mechanism_design_x_multi-armed_bandits.py (acc=37% tierA=26% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
holography_principle_x_emergence_x_type_theory.py (acc=37% tierA=36% tierB=42%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry, expected_value, double_negation]
chaos_theory_x_neural_plasticity_x_free_energy_principle.py (acc=38% tierA=37% tierB=42%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, conditional_probability_asymmetry, denying_antecedent, double_negation]
cognitive_load_theory_x_pragmatics_x_multi-armed_bandits.py (acc=38% tierA=38% tierB=38%): FAIL=[numeric_stated_premise, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, expected_value, affirming_consequent, double_negation, demorgan, vacuous_truth]
epigenetics_x_error_correcting_codes_x_nash_equilibrium.py (acc=38% tierA=34% tierB=54%): FAIL=[numeric_comparison, numeric_stated_premise, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
ergodic_theory_x_measure_theory_x_dual_process_theory.py (acc=38% tierA=37% tierB=42%): FAIL=[transitivity, modus_tollens, subject_object, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
genetic_algorithms_x_pragmatics_x_type_theory.py (acc=38% tierA=36% tierB=46%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, negation_scope, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
information_theory_x_sparse_autoencoders_x_embodied_cognition.py (acc=38% tierA=40% tierB=31%): FAIL=[numeric_comparison, modus_tollens, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value]
information_theory_x_sparse_autoencoders_x_multi-armed_bandits.py (acc=38% tierA=36% tierB=46%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, temporal_ordering, conditional_probability_asymmetry, denying_antecedent, double_negation, demorgan, vacuous_truth, correlation_not_causation]
information_theory_x_spectral_analysis_x_neural_oscillations.py (acc=38% tierA=29% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, double_negation]
phase_transitions_x_autopoiesis_x_causal_inference.py (acc=38% tierA=31% tierB=65%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
quantum_mechanics_x_program_synthesis_x_epigenetics.py (acc=38% tierA=35% tierB=50%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, all_but_n, temporal_ordering, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, vacuous_truth]
bayesian_inference_x_differentiable_programming_x_abductive_reasoning.py (acc=39% tierA=31% tierB=69%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
bayesian_inference_x_free_energy_principle_x_sensitivity_analysis.py (acc=39% tierA=37% tierB=46%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, all_but_n, conditional_probability_asymmetry, expected_value, affirming_consequent, demorgan]
differentiable_programming_x_metacognition_x_mechanism_design.py (acc=39% tierA=38% tierB=42%): FAIL=[modus_tollens, subject_object, negation_scope, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent, demorgan]
epistemology_x_feedback_control_x_maximum_entropy.py (acc=39% tierA=31% tierB=69%): FAIL=[transitivity, modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
ergodic_theory_x_causal_inference_x_satisfiability.py (acc=39% tierA=30% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
ergodic_theory_x_spectral_analysis_x_criticality.py (acc=39% tierA=34% tierB=58%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
reinforcement_learning_x_active_inference_x_free_energy_principle.py (acc=39% tierA=38% tierB=42%): FAIL=[transitivity, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, expected_value, affirming_consequent, double_negation, demorgan, vacuous_truth]
theory_of_mind_x_mechanism_design_x_sensitivity_analysis.py (acc=39% tierA=35% tierB=54%): FAIL=[transitivity, modus_tollens, subject_object, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, affirming_consequent]
active_inference_x_free_energy_principle_x_model_checking.py (acc=40% tierA=34% tierB=62%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
