neural_oscillations_x_free_energy_principle_x_type_theory.py (acc=44% tierA=38% tierB=69%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, subject_object, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
reinforcement_learning_x_neural_oscillations_x_pragmatics.py (acc=49% tierA=40% tierB=85%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
apoptosis_x_falsificationism_x_self-organized_criticality.py (acc=50% tierA=42% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
chaos_theory_x_differentiable_programming_x_dialectics.py (acc=50% tierA=42% tierB=81%): FAIL=[transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, demorgan]
sparse_autoencoders_x_global_workspace_theory_x_free_energy_principle.py (acc=50% tierA=44% tierB=73%): FAIL=[transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
active_inference_x_neural_oscillations_x_mechanism_design.py (acc=51% tierA=42% tierB=85%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, base_rate_neglect, conjunction_fallacy, expected_value]
feedback_control_x_pragmatics_x_free_energy_principle.py (acc=51% tierA=44% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
spectral_analysis_x_falsificationism_x_criticality.py (acc=51% tierA=47% tierB=65%): FAIL=[transitivity, modus_tollens, all_but_n, conjunction_fallacy, double_negation, correlation_not_causation, argument_strength, liar_detection, false_belief_task, premise_contradiction]
ibai_v2.py (acc=52% tierA=51% tierB=54%): FAIL=[modus_tollens, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, demorgan, correlation_not_causation, necessary_vs_sufficient, scope_ambiguity, liar_detection]
phase_transitions_x_pragmatics_x_maximum_entropy.py (acc=52% tierA=47% tierB=69%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, subject_object, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, denying_antecedent]
chaos_theory_x_dialectics_x_feedback_control.py (acc=52% tierA=45% tierB=81%): FAIL=[transitivity, modus_tollens, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
criticality_x_pragmatics_x_free_energy_principle.py (acc=52% tierA=45% tierB=81%): FAIL=[transitivity, modus_tollens, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
thermodynamics_x_immune_systems_x_free_energy_principle.py (acc=55% tierA=49% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, double_negation, vacuous_truth]
constraint_satisfaction_x_free_energy_principle_x_model_checking.py (acc=56% tierA=51% tierB=77%): FAIL=[transitivity, modus_tollens, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, correlation_not_causation, argument_strength]
information_theory_x_criticality_x_pragmatics.py (acc=57% tierA=54% tierB=69%): FAIL=[modus_tollens, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, double_negation, validity_vs_truth, argument_strength, confidence_calibration, liar_detection]
network_science_x_pragmatics_x_hoare_logic.py (acc=57% tierA=53% tierB=73%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, demorgan]
fractal_geometry_x_chaos_theory_x_free_energy_principle.py (acc=58% tierA=53% tierB=77%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, all_but_n, rate_inverse_proportion, conjunction_fallacy, expected_value, argument_strength, confidence_calibration, liar_detection]
efme_v2.py (acc=60% tierA=56% tierB=73%): FAIL=[modus_tollens, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, correlation_not_causation, argument_strength, confidence_calibration]
