chaos_theory_x_network_science_x_free_energy_principle.py (acc=40% tierA=40% tierB=38%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, all_but_n, temporal_ordering, base_rate_neglect, expected_value, affirming_consequent, denying_antecedent, demorgan]
symbiosis_x_optimal_control_x_mechanism_design.py (acc=41% tierA=38% tierB=54%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
theory_of_mind_x_pragmatics_x_mechanism_design.py (acc=41% tierA=34% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
topology_x_active_inference_x_type_theory.py (acc=41% tierA=33% tierB=73%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
topology_x_renormalization_x_pragmatics.py (acc=41% tierA=35% tierB=65%): FAIL=[numeric_comparison, transitivity, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
active_inference_x_epistemology_x_network_science.py (acc=42% tierA=33% tierB=77%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, subject_object, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
bandit_v2.py (acc=42% tierA=42% tierB=42%): FAIL=[numeric_comparison, quantifier_inversion, negation_scope, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, double_negation, demorgan, post_hoc]
category_theory_x_network_science_x_mechanism_design.py (acc=42% tierA=36% tierB=65%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
chaos_theory_x_gene_regulatory_networks_x_error_correcting_codes.py (acc=42% tierA=44% tierB=35%): FAIL=[modus_tollens, temporal_ordering, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, double_negation, demorgan, necessary_vs_sufficient, scope_ambiguity, garden_path]
ergodic_theory_x_abductive_reasoning_x_pragmatics.py (acc=42% tierA=35% tierB=69%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
ergodic_theory_x_metacognition_x_nash_equilibrium.py (acc=42% tierA=34% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
gauge_theory_x_sparse_autoencoders_x_compositional_semantics.py (acc=42% tierA=37% tierB=62%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
statistical_mechanics_x_compressed_sensing_x_falsificationism.py (acc=42% tierA=41% tierB=46%): FAIL=[subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
swarm_intelligence_x_abductive_reasoning_x_neuromodulation.py (acc=42% tierA=40% tierB=50%): FAIL=[transitivity, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent, double_negation, correlation_not_causation]
thermodynamics_x_compressed_sensing_x_mechanism_design.py (acc=42% tierA=34% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
thermodynamics_x_gene_regulatory_networks_x_active_inference.py (acc=42% tierA=39% tierB=54%): FAIL=[transitivity, modus_tollens, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
thermodynamics_x_reservoir_computing_x_mechanism_design.py (acc=42% tierA=33% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, conjunction_fallacy, expected_value]
chaos_theory_x_compositionality_x_type_theory.py (acc=43% tierA=44% tierB=38%): FAIL=[subject_object, temporal_ordering, parallel_vs_sequential, demorgan, vacuous_truth, presupposition, argument_strength, confidence_calibration, liar_detection, false_belief_task]
differentiable_programming_x_gene_regulatory_networks_x_active_inference.py (acc=43% tierA=35% tierB=73%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
ergodic_theory_x_reinforcement_learning_x_free_energy_principle.py (acc=43% tierA=34% tierB=77%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
evolution_x_pragmatics_x_free_energy_principle.py (acc=43% tierA=44% tierB=38%): FAIL=[numeric_comparison, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
falsificationism_x_network_science_x_compositionality.py (acc=43% tierA=37% tierB=65%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
feedback_control_x_pragmatics_x_type_theory.py (acc=43% tierA=35% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
fractal_geometry_x_predictive_coding_x_free_energy_principle.py (acc=43% tierA=34% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
gauge_theory_x_global_workspace_theory_x_pragmatics.py (acc=43% tierA=35% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
gene_regulatory_networks_x_mechanism_design_x_type_theory.py (acc=43% tierA=36% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
gene_regulatory_networks_x_multi-armed_bandits_x_free_energy_principle.py (acc=43% tierA=44% tierB=38%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, subject_object, all_but_n, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
information_theory_x_genetic_algorithms_x_criticality.py (acc=43% tierA=36% tierB=69%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
neuromodulation_x_multi-armed_bandits_x_model_checking.py (acc=43% tierA=43% tierB=42%): FAIL=[numeric_comparison, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
quantum_mechanics_x_metacognition_x_free_energy_principle.py (acc=43% tierA=40% tierB=54%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
spectral_analysis_x_sparse_coding_x_compositionality.py (acc=43% tierA=36% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
statistical_mechanics_x_network_science_x_multi-armed_bandits.py (acc=43% tierA=38% tierB=62%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
thermodynamics_x_emergence_x_mechanism_design.py (acc=43% tierA=41% tierB=50%): FAIL=[numeric_stated_premise, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
category_theory_x_embodied_cognition_x_pragmatics.py (acc=44% tierA=37% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
category_theory_x_sparse_autoencoders_x_model_checking.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
category_theory_x_wavelet_transforms_x_error_correcting_codes.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
causal_inference_x_mechanism_design_x_type_theory.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
chaos_theory_x_autopoiesis_x_criticality.py (acc=44% tierA=34% tierB=81%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, subject_object, all_but_n, conjunction_fallacy, expected_value, double_negation]
chaos_theory_x_metacognition_x_pragmatics.py (acc=44% tierA=37% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
dialectics_x_autopoiesis_x_kolmogorov_complexity.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
dynamical_systems_x_nash_equilibrium_x_counterfactual_reasoning.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
information_theory_x_pragmatics_x_multi-armed_bandits.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
mechanism_design_x_free_energy_principle_x_type_theory.py (acc=44% tierA=38% tierB=65%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
neural_architecture_search_x_symbiosis_x_model_checking.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
phase_transitions_x_morphogenesis_x_sparse_coding.py (acc=44% tierA=37% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
renormalization_x_active_inference_x_neuromodulation.py (acc=44% tierA=34% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
theory_of_mind_x_emergence_x_kolmogorov_complexity.py (acc=44% tierA=36% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
analogical_reasoning_x_neural_oscillations_x_free_energy_principle.py (acc=44% tierA=43% tierB=50%): FAIL=[numeric_comparison, numeric_stated_premise, subject_object, all_but_n, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
analogical_reasoning_x_pragmatism_x_type_theory.py (acc=44% tierA=36% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
chaos_theory_x_neuromodulation_x_mechanism_design.py (acc=44% tierA=42% tierB=54%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, post_hoc, argument_strength, confidence_calibration]
criticality_x_mechanism_design_x_type_theory.py (acc=44% tierA=40% tierB=62%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
dynamical_systems_x_kalman_filtering_x_mechanism_design.py (acc=44% tierA=37% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
ecosystem_dynamics_x_multi-armed_bandits_x_free_energy_principle.py (acc=44% tierA=37% tierB=73%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, demorgan]
fractal_geometry_x_renormalization_x_ecosystem_dynamics.py (acc=44% tierA=37% tierB=73%): FAIL=[numeric_comparison, transitivity, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
genetic_algorithms_x_wavelet_transforms_x_pragmatics.py (acc=44% tierA=37% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
